,NUMBER,CONTRACT NAME,NAME,ADDRESS,POSITION,BANKING,BONUS,BIKE STANDS,AVAILABLE BIKE STANDS,STATUS,LAST UPDATE,AVAILABLE BIKES,DATES
0,42,dublin,SMITHFIELD NORTH,Smithfield North,"{'lat': 53.349562, 'lng': -6.278198}",False,False,30,26,OPEN,1641203442000,4,2022-01-03 09:50:42
1,30,dublin,PARNELL SQUARE NORTH,Parnell Square North,"{'lat': 53.353462, 'lng': -6.265305}",False,False,20,20,OPEN,1641203863000,0,2022-01-03 09:57:43
2,54,dublin,CLONMEL STREET,Clonmel Street,"{'lat': 53.336021, 'lng': -6.26298}",False,False,33,30,OPEN,1641203371000,3,2022-01-03 09:49:31
3,108,dublin,AVONDALE ROAD,Avondale Road,"{'lat': 53.359405, 'lng': -6.276142}",False,False,35,15,OPEN,1641203497000,20,2022-01-03 09:51:37
4,56,dublin,MOUNT STREET LOWER,Mount Street Lower,"{'lat': 53.33796, 'lng': -6.24153}",False,False,40,21,OPEN,1641203709000,18,2022-01-03 09:55:09
5,6,dublin,CHRISTCHURCH PLACE,Christchurch Place,"{'lat': 53.343368, 'lng': -6.27012}",False,False,20,17,OPEN,1641203541000,3,2022-01-03 09:52:21
6,18,dublin,GRANTHAM STREET,Grantham Street,"{'lat': 53.334123, 'lng': -6.265436}",False,False,30,16,OPEN,1641203713000,14,2022-01-03 09:55:13
7,32,dublin,PEARSE STREET,Pearse Street,"{'lat': 53.344304, 'lng': -6.250427}",False,False,30,19,OPEN,1641203467000,11,2022-01-03 09:51:07
8,52,dublin,YORK STREET EAST,York Street East,"{'lat': 53.338755, 'lng': -6.262003}",False,False,32,22,OPEN,1641203591000,10,2022-01-03 09:53:11
9,48,dublin,EXCISE WALK,Excise Walk,"{'lat': 53.347777, 'lng': -6.244239}",False,False,40,28,OPEN,1641203730000,12,2022-01-03 09:55:30
10,13,dublin,FITZWILLIAM SQUARE WEST,Fitzwilliam Square West,"{'lat': 53.336074, 'lng': -6.252825}",False,False,30,23,OPEN,1641203553000,7,2022-01-03 09:52:33
11,43,dublin,PORTOBELLO ROAD,Portobello Road,"{'lat': 53.330091, 'lng': -6.268044}",False,False,30,11,OPEN,1641203545000,19,2022-01-03 09:52:25
12,31,dublin,PARNELL STREET,Parnell Street,"{'lat': 53.350929, 'lng': -6.265125}",False,False,20,3,OPEN,1641203789000,17,2022-01-03 09:56:29
13,98,dublin,FREDERICK STREET SOUTH,Frederick Street South,"{'lat': 53.341515, 'lng': -6.256853}",False,False,40,26,OPEN,1641203738000,14,2022-01-03 09:55:38
14,23,dublin,CUSTOM HOUSE,Custom House,"{'lat': 53.348279, 'lng': -6.254662}",False,False,30,24,OPEN,1641203627000,6,2022-01-03 09:53:47
15,106,dublin,RATHDOWN ROAD,Rathdown Road,"{'lat': 53.35893, 'lng': -6.280337}",False,False,40,18,OPEN,1641203343000,22,2022-01-03 09:49:03
16,112,dublin,NORTH CIRCULAR ROAD (O'CONNELL'S),North Circular Road (O'Connell's),"{'lat': 53.357841, 'lng': -6.251557}",False,False,30,21,OPEN,1641203419000,8,2022-01-03 09:50:19
17,68,dublin,HANOVER QUAY,Hanover Quay,"{'lat': 53.344115, 'lng': -6.237153}",False,False,40,22,OPEN,1641203764000,18,2022-01-03 09:56:04
18,74,dublin,OLIVER BOND STREET,Oliver Bond Street,"{'lat': 53.343893, 'lng': -6.280531}",False,False,30,1,OPEN,1641203797000,29,2022-01-03 09:56:37
19,87,dublin,COLLINS BARRACKS MUSEUM,Collins Barracks Museum,"{'lat': 53.347477, 'lng': -6.28525}",False,False,38,12,OPEN,1641203558000,26,2022-01-03 09:52:38
20,84,dublin,BROOKFIELD ROAD,Brookfield Road,"{'lat': 53.339005, 'lng': -6.300217}",False,False,30,2,OPEN,1641203335000,28,2022-01-03 09:48:55
21,90,dublin,BENSON STREET,Benson Street,"{'lat': 53.344153, 'lng': -6.233451}",False,False,40,36,OPEN,1641203531000,4,2022-01-03 09:52:11
22,11,dublin,EARLSFORT TERRACE,Earlsfort Terrace,"{'lat': 53.334295, 'lng': -6.258503}",False,False,30,20,OPEN,1641203391000,10,2022-01-03 09:49:51
23,17,dublin,GOLDEN LANE,Golden Lane,"{'lat': 53.340803, 'lng': -6.267732}",False,False,20,19,OPEN,1641203545000,1,2022-01-03 09:52:25
24,45,dublin,DEVERELL PLACE,Deverell Place,"{'lat': 53.351464, 'lng': -6.255265}",False,False,30,18,OPEN,1641203402000,12,2022-01-03 09:50:02
25,114,dublin,WILTON TERRACE (PARK),Wilton Terrace (Park),"{'lat': 53.333653, 'lng': -6.248345}",False,False,40,29,OPEN,1641203302000,11,2022-01-03 09:48:22
26,72,dublin,JOHN STREET WEST,John Street West,"{'lat': 53.343105, 'lng': -6.277167}",False,False,31,11,OPEN,1641203819000,20,2022-01-03 09:56:59
27,63,dublin,FENIAN STREET,Fenian Street,"{'lat': 53.341428, 'lng': -6.24672}",False,False,35,14,OPEN,1641203673000,21,2022-01-03 09:54:33
28,113,dublin,MERRION SQUARE SOUTH,Merrion Square South,"{'lat': 53.338614, 'lng': -6.248606}",False,False,40,32,OPEN,1641203665000,8,2022-01-03 09:54:25
29,91,dublin,SOUTH DOCK ROAD,South Dock Road,"{'lat': 53.341833, 'lng': -6.231291}",False,False,30,16,OPEN,1641203708000,14,2022-01-03 09:55:08
30,99,dublin,CITY QUAY,City Quay,"{'lat': 53.346637, 'lng': -6.246154}",False,False,30,27,OPEN,1641203379000,3,2022-01-03 09:49:39
31,9,dublin,EXCHEQUER STREET,Exchequer Street,"{'lat': 53.343034, 'lng': -6.263578}",False,False,24,15,OPEN,1641203867000,9,2022-01-03 09:57:47
32,67,dublin,THE POINT,The Point,"{'lat': 53.346867, 'lng': -6.230852}",False,False,40,13,OPEN,1641203692000,27,2022-01-03 09:54:52
33,116,dublin,BROADSTONE,Broadstone,"{'lat': 53.3547, 'lng': -6.272314}",False,False,30,21,OPEN,1641203588000,9,2022-01-03 09:53:08
34,55,dublin,HATCH STREET,Hatch Street,"{'lat': 53.33403, 'lng': -6.260714}",False,False,36,12,OPEN,1641203554000,24,2022-01-03 09:52:34
35,62,dublin,LIME STREET,Lime Street,"{'lat': 53.346026, 'lng': -6.243576}",False,False,40,37,OPEN,1641203633000,3,2022-01-03 09:53:53
36,5,dublin,CHARLEMONT PLACE,Charlemont Street,"{'lat': 53.330662, 'lng': -6.260177}",False,False,40,17,OPEN,1641203685000,23,2022-01-03 09:54:45
37,97,dublin,KILMAINHAM GAOL,Kilmainham Gaol,"{'lat': 53.342113, 'lng': -6.310015}",False,False,40,12,OPEN,1641203814000,28,2022-01-03 09:56:54
38,61,dublin,HARDWICKE PLACE,Hardwicke Place,"{'lat': 53.357043, 'lng': -6.263232}",False,False,25,22,OPEN,1641203476000,3,2022-01-03 09:51:16
39,77,dublin,WOLFE TONE STREET,Wolfe Tone Street,"{'lat': 53.348875, 'lng': -6.267459}",False,False,29,26,OPEN,1641203813000,3,2022-01-03 09:56:53
40,73,dublin,FRANCIS STREET,Francis Street,"{'lat': 53.342081, 'lng': -6.275233}",False,False,30,10,OPEN,1641203683000,20,2022-01-03 09:54:43
41,4,dublin,GREEK STREET,Greek Street,"{'lat': 53.346874, 'lng': -6.272976}",False,False,20,15,OPEN,1641203656000,5,2022-01-03 09:54:16
42,49,dublin,GUILD STREET,Guild Street,"{'lat': 53.347932, 'lng': -6.240928}",False,False,40,2,OPEN,1641203340000,38,2022-01-03 09:49:00
43,19,dublin,HERBERT PLACE,Herbert Place,"{'lat': 53.334432, 'lng': -6.245575}",False,False,30,24,OPEN,1641203706000,6,2022-01-03 09:55:06
44,7,dublin,HIGH STREET,High Street,"{'lat': 53.343565, 'lng': -6.275071}",False,False,29,12,OPEN,1641203492000,17,2022-01-03 09:51:32
45,60,dublin,NORTH CIRCULAR ROAD,North Circular Road,"{'lat': 53.359624, 'lng': -6.260348}",False,False,30,2,OPEN,1641203853000,28,2022-01-03 09:57:33
46,102,dublin,WESTERN WAY,Western Way,"{'lat': 53.354929, 'lng': -6.269425}",False,False,40,26,OPEN,1641203441000,14,2022-01-03 09:50:41
47,38,dublin,TALBOT STREET,Talbot Street,"{'lat': 53.350974, 'lng': -6.25294}",False,False,40,21,OPEN,1641203737000,19,2022-01-03 09:55:37
48,53,dublin,NEWMAN HOUSE,Newman House,"{'lat': 53.337132, 'lng': -6.26059}",False,False,40,39,OPEN,1641203585000,1,2022-01-03 09:53:05
49,58,dublin,SIR PATRICK DUN'S,Sir Patrick's Dun,"{'lat': 53.339218, 'lng': -6.240642}",False,False,40,22,OPEN,1641203373000,18,2022-01-03 09:49:33
50,66,dublin,NEW CENTRAL BANK,New Central Bank,"{'lat': 53.347122, 'lng': -6.234749}",False,False,40,20,OPEN,1641203803000,20,2022-01-03 09:56:43
51,104,dublin,GRANGEGORMAN LOWER (CENTRAL),Grangegorman Lower (Central),"{'lat': 53.355173, 'lng': -6.278424}",False,False,40,33,OPEN,1641203421000,7,2022-01-03 09:50:21
52,101,dublin,KING STREET NORTH,King Street North,"{'lat': 53.350291, 'lng': -6.273507}",False,False,30,17,OPEN,1641203638000,13,2022-01-03 09:53:58
53,115,dublin,KILLARNEY STREET,Killarney Street,"{'lat': 53.354845, 'lng': -6.247579}",False,False,30,19,OPEN,1641203554000,11,2022-01-03 09:52:34
54,47,dublin,HERBERT STREET,Herbert Street,"{'lat': 53.335742, 'lng': -6.24551}",False,False,40,30,OPEN,1641203722000,10,2022-01-03 09:55:22
55,117,dublin,HANOVER QUAY EAST,Hanover Quay East,"{'lat': 53.343653, 'lng': -6.231755}",False,False,40,34,OPEN,1641203378000,6,2022-01-03 09:49:38
56,8,dublin,CUSTOM HOUSE QUAY,Custom House Quay,"{'lat': 53.347884, 'lng': -6.248048}",False,False,30,25,OPEN,1641203487000,5,2022-01-03 09:51:27
57,27,dublin,MOLESWORTH STREET,Molesworth Street,"{'lat': 53.341288, 'lng': -6.258117}",False,False,20,14,OPEN,1641203727000,6,2022-01-03 09:55:27
58,16,dublin,GEORGES QUAY,Georges Quay,"{'lat': 53.347508, 'lng': -6.252192}",False,False,20,15,OPEN,1641203836000,5,2022-01-03 09:57:16
59,96,dublin,KILMAINHAM LANE,Kilmainham Lane,"{'lat': 53.341805, 'lng': -6.305085}",False,False,30,15,OPEN,1641203789000,15,2022-01-03 09:56:29
60,82,dublin,MOUNT BROWN,Mount Brown,"{'lat': 53.341645, 'lng': -6.29719}",False,False,22,22,OPEN,1641203535000,0,2022-01-03 09:52:15
61,76,dublin,MARKET STREET SOUTH,Market Street South,"{'lat': 53.342296, 'lng': -6.287661}",False,False,38,18,OPEN,1641203501000,20,2022-01-03 09:51:41
62,71,dublin,KEVIN STREET,Kevin Street,"{'lat': 53.337757, 'lng': -6.267699}",False,False,40,28,OPEN,1641203414000,12,2022-01-03 09:50:14
63,79,dublin,ECCLES STREET EAST,Eccles Street East,"{'lat': 53.358115, 'lng': -6.265601}",False,False,27,12,OPEN,1641203300000,15,2022-01-03 09:48:20
64,69,dublin,GRAND CANAL DOCK,Grand Canal Dock,"{'lat': 53.342638, 'lng': -6.238695}",False,False,40,9,OPEN,1641203757000,31,2022-01-03 09:55:57
65,25,dublin,MERRION SQUARE EAST,Merrion Square East,"{'lat': 53.339434, 'lng': -6.246548}",False,False,30,16,OPEN,1641203302000,14,2022-01-03 09:48:22
66,51,dublin,YORK STREET WEST,York Street West,"{'lat': 53.339334, 'lng': -6.264699}",False,False,40,34,OPEN,1641203353000,6,2022-01-03 09:49:13
67,37,dublin,ST. STEPHEN'S GREEN SOUTH,St. Stephen's Green South,"{'lat': 53.337494, 'lng': -6.26199}",True,False,30,27,OPEN,1641203716000,3,2022-01-03 09:55:16
68,59,dublin,DENMARK STREET GREAT,Denmark Street Great,"{'lat': 53.35561, 'lng': -6.261397}",False,False,20,20,OPEN,1641203788000,0,2022-01-03 09:56:28
69,95,dublin,ROYAL HOSPITAL,Royal Hospital,"{'lat': 53.343897, 'lng': -6.29706}",False,False,40,26,OPEN,1641203590000,14,2022-01-03 09:53:10
70,94,dublin,HEUSTON STATION (CAR PARK),Heuston Station (Car Park),"{'lat': 53.346985, 'lng': -6.297804}",False,False,40,37,OPEN,1641203705000,3,2022-01-03 09:55:05
71,105,dublin,GRANGEGORMAN LOWER (NORTH),Grangegorman Lower (North),"{'lat': 53.355954, 'lng': -6.278378}",False,False,36,29,OPEN,1641203588000,7,2022-01-03 09:53:08
72,36,dublin,ST. STEPHEN'S GREEN EAST,St. Stephen's Green East,"{'lat': 53.337824, 'lng': -6.256035}",False,False,40,30,OPEN,1641203798000,9,2022-01-03 09:56:38
73,93,dublin,HEUSTON STATION (CENTRAL),Heuston Station (Central),"{'lat': 53.346603, 'lng': -6.296924}",False,False,40,16,OPEN,1641203585000,24,2022-01-03 09:53:05
74,22,dublin,TOWNSEND STREET,Townsend Street,"{'lat': 53.345922, 'lng': -6.254614}",False,False,20,16,OPEN,1641203739000,4,2022-01-03 09:55:39
75,50,dublin,GEORGES LANE,George's Lane,"{'lat': 53.35023, 'lng': -6.279696}",False,False,40,33,OPEN,1641203540000,7,2022-01-03 09:52:20
76,110,dublin,PHIBSBOROUGH ROAD,Phibsborough Road,"{'lat': 53.356307, 'lng': -6.273717}",False,False,40,28,OPEN,1641203821000,12,2022-01-03 09:57:01
77,12,dublin,ECCLES STREET,Eccles Street,"{'lat': 53.359246, 'lng': -6.269779}",False,False,20,12,OPEN,1641203685000,8,2022-01-03 09:54:45
78,34,dublin,PORTOBELLO HARBOUR,Portobello Harbour,"{'lat': 53.330362, 'lng': -6.265163}",False,False,30,15,OPEN,1641203607000,15,2022-01-03 09:53:27
79,78,dublin,MATER HOSPITAL,Mater Hospital,"{'lat': 53.359967, 'lng': -6.264828}",False,False,40,20,OPEN,1641203634000,20,2022-01-03 09:53:54
80,2,dublin,BLESSINGTON STREET,Blessington Street,"{'lat': 53.356769, 'lng': -6.26814}",False,False,20,3,OPEN,1641203778000,17,2022-01-03 09:56:18
81,75,dublin,JAMES STREET,James Street,"{'lat': 53.343456, 'lng': -6.287409}",False,False,40,14,OPEN,1641203627000,26,2022-01-03 09:53:47
82,507,dublin,ORIEL STREET TEST TERMINAL,"JCDecaux Ireland, 52 Oriel Street Lower, Dublin 1","{'lat': 53.35463, 'lng': -6.242615}",False,False,1,0,OPEN,1637219476000,1,2021-11-18 07:11:16
83,111,dublin,MOUNTJOY SQUARE EAST,Mountjoy Square East,"{'lat': 53.356717, 'lng': -6.256359}",False,False,40,32,OPEN,1641203276000,8,2022-01-03 09:47:56
84,26,dublin,MERRION SQUARE WEST,Merrion Square West,"{'lat': 53.339764, 'lng': -6.251988}",True,False,20,3,OPEN,1641203567000,17,2022-01-03 09:52:47
85,65,dublin,CONVENTION CENTRE,Convention Centre,"{'lat': 53.34744, 'lng': -6.238523}",True,False,40,22,OPEN,1641203556000,18,2022-01-03 09:52:36
86,15,dublin,HARDWICKE STREET,Hardwicke Street,"{'lat': 53.355473, 'lng': -6.264423}",False,False,16,16,OPEN,1641203520000,0,2022-01-03 09:52:00
87,86,dublin,PARKGATE STREET,Parkgate Street,"{'lat': 53.347972, 'lng': -6.291804}",False,False,38,30,OPEN,1641203651000,8,2022-01-03 09:54:11
88,10,dublin,DAME STREET,Dame Street,"{'lat': 53.344007, 'lng': -6.266802}",True,False,16,8,OPEN,1641203325000,8,2022-01-03 09:48:45
89,100,dublin,HEUSTON BRIDGE (SOUTH),Heuston Bridge (South),"{'lat': 53.347106, 'lng': -6.292041}",False,False,25,16,OPEN,1641203356000,9,2022-01-03 09:49:16
90,24,dublin,CATHAL BRUGHA STREET,Cathal Brugha Street,"{'lat': 53.352149, 'lng': -6.260533}",False,False,20,10,OPEN,1641203691000,10,2022-01-03 09:54:51
91,64,dublin,SANDWITH STREET,Sandwith Street,"{'lat': 53.345203, 'lng': -6.247163}",False,False,40,24,OPEN,1641203753000,16,2022-01-03 09:55:53
92,109,dublin,BUCKINGHAM STREET LOWER,Buckingham Street Lower,"{'lat': 53.353331, 'lng': -6.249319}",False,False,29,18,OPEN,1641203653000,11,2022-01-03 09:54:13
93,85,dublin,ROTHE ABBEY,Rothe Abbey,"{'lat': 53.338776, 'lng': -6.30395}",False,False,35,13,OPEN,1641203569000,22,2022-01-03 09:52:49
94,107,dublin,CHARLEVILLE ROAD,Charleville Road,"{'lat': 53.359157, 'lng': -6.281866}",False,False,40,29,OPEN,1641203758000,11,2022-01-03 09:55:58
95,33,dublin,PRINCES STREET / O'CONNELL STREET,Princes Street / O'Connell Street,"{'lat': 53.349013, 'lng': -6.260311}",True,False,23,14,OPEN,1641203843000,9,2022-01-03 09:57:23
96,44,dublin,UPPER SHERRARD STREET,Upper Sherrard Street,"{'lat': 53.358437, 'lng': -6.260641}",False,False,30,13,OPEN,1641203643000,17,2022-01-03 09:54:03
97,89,dublin,FITZWILLIAM SQUARE EAST,Fitzwilliam Square East,"{'lat': 53.335211, 'lng': -6.2509}",False,False,40,24,OPEN,1641203435000,16,2022-01-03 09:50:35
98,57,dublin,GRATTAN STREET,Grattan Street,"{'lat': 53.339629, 'lng': -6.243778}",False,False,23,15,OPEN,1641203607000,8,2022-01-03 09:53:27
99,80,dublin,ST JAMES HOSPITAL (LUAS),St James Hospital (Luas),"{'lat': 53.341359, 'lng': -6.292951}",False,False,40,23,OPEN,1641203604000,16,2022-01-03 09:53:24
100,41,dublin,HARCOURT TERRACE,Harcourt Terrace,"{'lat': 53.332763, 'lng': -6.257942}",False,False,20,13,OPEN,1641203571000,7,2022-01-03 09:52:51
101,3,dublin,BOLTON STREET,Bolton Street,"{'lat': 53.351182, 'lng': -6.269859}",False,False,20,20,OPEN,1641203323000,0,2022-01-03 09:48:43
102,40,dublin,JERVIS STREET,Jervis Street,"{'lat': 53.3483, 'lng': -6.266651}",False,False,21,16,OPEN,1641203648000,5,2022-01-03 09:54:08
103,29,dublin,ORMOND QUAY UPPER,Ormond Quay Upper,"{'lat': 53.346057, 'lng': -6.268001}",False,False,29,14,OPEN,1641203706000,15,2022-01-03 09:55:06
104,103,dublin,GRANGEGORMAN LOWER (SOUTH),Grangegorman Lower (South),"{'lat': 53.354663, 'lng': -6.278681}",False,False,40,32,OPEN,1641203683000,8,2022-01-03 09:54:43
105,28,dublin,MOUNTJOY SQUARE WEST,Mountjoy Square West,"{'lat': 53.356299, 'lng': -6.258586}",False,False,30,12,OPEN,1641203703000,18,2022-01-03 09:55:03
106,39,dublin,WILTON TERRACE,Wilton Terrace,"{'lat': 53.332383, 'lng': -6.252717}",False,False,20,7,OPEN,1641203449000,13,2022-01-03 09:50:49
107,83,dublin,EMMET ROAD,Emmet Road,"{'lat': 53.340714, 'lng': -6.308191}",False,False,40,18,OPEN,1641203793000,22,2022-01-03 09:56:33
108,92,dublin,HEUSTON BRIDGE (NORTH),Heuston Bridge (North),"{'lat': 53.347802, 'lng': -6.292432}",False,False,40,15,OPEN,1641203768000,25,2022-01-03 09:56:08
109,21,dublin,LEINSTER STREET SOUTH,Leinster Street South,"{'lat': 53.34218, 'lng': -6.254485}",False,False,30,28,OPEN,1641203507000,2,2022-01-03 09:51:47
110,88,dublin,BLACKHALL PLACE,Blackhall Place,"{'lat': 53.3488, 'lng': -6.281637}",False,False,30,12,OPEN,1641203500000,18,2022-01-03 09:51:40
